,name,year,nationality,width,height,mean_hue,mean_saturation,mean_brightness
0,the-luxury,1420,Italian,475.0,399.0,0.09482704271465874,0.26535945014049633,0.8605076985549529
1,madonna-and-quail,,Italian,570.0,900.0,0.1254288546471405,0.46776014728288406,0.6068298895386616
2,apes,1430,Italian,475.0,452.0,0.0,0.0,0.7965262244627708
3,hanged-men-and-two-portraits,1430,Italian,331.0,475.0,0.0,0.0,0.8641358612454366
4,stork,1430,Italian,432.0,475.0,0.11073856016377412,0.3197296724610848,0.8090435347628332
5,horses,1433,Italian,390.0,475.0,0.0,0.0,0.7279265856950069
6,portrait-of-emperor-sigismund-of-luxembourg,1433,Italian,330.0,475.0,0.07758202314874436,0.5356799340650614,0.5538732213778653
7,study-of-horse-heads,1433,Italian,316.0,475.0,0.0,0.0,0.7547033219683609
8,study-of-a-head,1436,Italian,430.0,475.0,0.6826965942090791,0.0848368951529909,0.8575992512059905
9,study-of-a-head,1952,British,430.0,475.0,0.6826965942090791,0.0848368951529909,0.8575992512059905
10,saint-george-and-the-princess-detail,1438,Italian,1024.0,739.0,0.10710946035101154,0.3448367612981384,0.6549755378724559
11,study-of-a-young-man-with-his-hands-tied-behind-his-back,1438,Italian,322.0,475.0,0.12971980390555618,0.06892485799747364,0.8099450672717599
12,the-vision-of-saint-eustace,1438,Italian,1245.0,1024.0,0.13567129527915955,0.46740473095365737,0.2735339427563195
13,study-of-the-head-of-a-horse,1439,Italian,278.0,475.0,0.08525242097272707,0.2226530414608126,0.6795049706364938
14,duck,1440,Italian,1280.0,833.0,0.07581276032366041,0.2940893852408686,0.8020744878833888
15,three-cows,1440,Italian,475.0,366.0,0.10402735028457366,0.15688650575074972,0.7101347002994467
16,portrait-of-leonillo-d-este,,Italian,800.0,1177.0,0.09446297135521835,0.4984557248275712,0.3087441942792409
17,apparition-of-the-virgin-to-sts-anthony-abbot-and-george,,Italian,730.0,1181.0,0.22543007585335284,0.44302945487475515,0.4342988717183138
18,portrait-of-a-princess-of-the-house-of-este,1449,Italian,704.0,980.0,0.3611476863944105,0.3524363899507977,0.41983704845574576
19,tournament-battle,,Italian,800.0,1128.0,0.10384294545690421,0.28209562952260314,0.6525213200528437
20,the-conversion-of-st-paul,,Italian,314.0,481.0,0.22539435429171714,0.3712225230917863,0.5289931341261427
21,dog,,Italian,1256.0,1024.0,0.11447131048768136,0.4204199779514743,0.9170570904267361
22,dog,1952,British,1256.0,1024.0,0.11447131048768136,0.4204199779514743,0.9170570904267361
23,saint-john-the-baptist,1480,Italian,1256.0,1560.0,0.2163081914571396,0.7870496527300841,0.2943673344317313
24,saint-john-the-baptist,1553,Italian,1256.0,1560.0,0.2163081914571396,0.7870496527300841,0.2943673344317313
25,the-young-saint-john-the-baptist,1480,Italian,500.0,599.0,0.29589582300078077,0.41840986064289337,0.34057016596287926
26,portrait-of-simonetta-vespucci-as-cleopatra,1490,Italian,758.0,1024.0,0.1303311345393955,0.42237762790246275,0.49053029935589026
27,mystical-marriage-of-st-catherine-of-alexandria,1493,Italian,453.0,445.0,0.09407068826682356,0.35148643661984386,0.4023203562745633
28,a-satyr-mourning-over-a-nymph,1495,Italian,944.0,335.0,0.17462065586787065,0.3930727512089457,0.5935618021557217
29,a-young-man,1500,Italian,931.0,944.0,0.3258792148494123,0.5479817593157562,0.543904408328898
30,a-young-man,1500,Italian,944.0,797.0,0.5641646648684384,0.18866439874871638,0.6457302496525478
31,a-young-man,1955,British,931.0,944.0,0.3258792148494123,0.5479817593157562,0.543904408328898
32,a-young-man,1955,British,944.0,797.0,0.5641646648684384,0.18866439874871638,0.6457302496525478
33,allegory,1500,Italian,551.0,650.0,0.1838617126165413,0.2770029492200647,0.5727751489818318
34,giuliano-da-san-gallo,1500,Italian,712.0,1024.0,0.36497520022350527,0.1940115203975044,0.3875828217083885
35,magdalena-reading,1500,Italian,701.0,944.0,0.2603729591203861,0.45026806882738735,0.46399654460299533
36,the-fight-between-the-lapiths-and-the-centaurs,1500,Italian,944.0,257.0,0.13309164935544154,0.39616008555353116,0.3257487265828972
37,tritons-and-nereids,1500,Italian,1280.0,316.0,0.15104276286425866,0.45873131020666064,0.4525049543155868
38,st-john-the-evangelist,1504,Italian,726.0,1024.0,0.13310042414799844,0.4118420926400491,0.34652206494254045
39,the-discovery-of-honey-by-bacchus,1505,Italian,1280.0,793.0,0.16060161160173234,0.5141716053979364,0.4390838610822638
40,the-forest-fire,1505,Italian,944.0,331.0,0.12503560335126723,0.6351397787413945,0.3759735019513464
41,the-misfortunes-of-silenus,1505,Italian,769.0,454.0,0.14841570241946578,0.6003018545481694,0.6397133660267381
42,venus-mars-and-cupid,1505,Italian,1280.0,497.0,0.254883245931602,0.2959446754778723,0.49562589384345285
43,maria-magdalena,1510,Italian,431.0,600.0,0.3217197556816638,0.4972965407753585,0.33344203327115846
44,perseus-rescuing-andromeda,1510,Italian,1024.0,582.0,0.1850124032596675,0.454276254075461,0.4414402826207803
45,the-immaculate-conception-with-saints,1510,Italian,830.0,974.0,0.10486228473862413,0.40411119480794516,0.3844089293519045
46,a-woman,,Italian,519.0,694.0,0.2672614451231589,0.19770468999255142,0.28775764330041664
47,crucifixion-of-christ,,Italian,890.0,1200.0,0.0912393678664503,0.535841277115582,0.549548667107292
48,the-myth-of-prometheus,1515,Italian,1024.0,565.0,0.6124467318624394,0.2925379533169677,0.45945435184582684
49,madonna-and-child-with-saints-and-angels,1520,Italian,1008.0,1024.0,0.18958066958812367,0.38284372709599035,0.6620657024745662
50,madonna-con-il-bambino,1505,Italian,1823.0,2577.0,0.4925262069477451,0.4696413669464882,0.42211133344378016
51,madonna-con-il-bambino,1505,Italian,2031.0,2553.0,0.4454030166774192,0.3646681718259097,0.4874451992442824
52,madonna-con-il-bambino,,Italian,1823.0,2577.0,0.4925262069477451,0.4696413669464882,0.42211133344378016
53,madonna-con-il-bambino,,Italian,2031.0,2553.0,0.4454030166774192,0.3646681718259097,0.4874451992442824
54,circoncision,1506,Italian,1280.0,767.0,0.2494526917606889,0.4875401173774434,0.40570315895262943
55,portrait-of-a-bearded-gentleman,1510,Italian,669.0,850.0,0.23010329936800597,0.2423308725311143,0.44536809057571863
56,portrait-of-a-noble-man,1510,Italian,1843.0,2545.0,0.6346254919015399,0.3889227254530837,0.46341783718082713
57,portrait-of-a-noble-man,1510,Italian,800.0,1089.0,0.11565494496474014,0.42624968736975793,0.441433731251913
58,portrait-of-a-noble-man,1510,Italian,1905.0,2579.0,0.46272000974100225,0.38187270798625805,0.5103404354865286
59,portrait-of-a-noble-man,1512,Italian,1843.0,2545.0,0.6346254919015399,0.3889227254530837,0.46341783718082713
60,portrait-of-a-noble-man,1512,Italian,800.0,1089.0,0.11565494496474014,0.42624968736975793,0.441433731251913
61,portrait-of-a-noble-man,1512,Italian,1905.0,2579.0,0.46272000974100225,0.38187270798625805,0.5103404354865286
62,portrait-of-a-noble-man,,Italian,1843.0,2545.0,0.6346254919015399,0.3889227254530837,0.46341783718082713
63,portrait-of-a-noble-man,,Italian,800.0,1089.0,0.11565494496474014,0.42624968736975793,0.441433731251913
64,portrait-of-a-noble-man,,Italian,1905.0,2579.0,0.46272000974100225,0.38187270798625805,0.5103404354865286
65,portrait-of-a-lady,,Italian,450.0,722.0,0.11751810110149054,0.466419460689349,0.4477659128902408
66,portrait-of-a-lady,,Italian,621.0,1200.0,0.16578440287131269,0.26901178016059785,0.412174612947702
67,portrait-of-a-lady,,Italian,656.0,830.0,0.15030497550850092,0.22891561050373307,0.29581557939073366
68,portrait-of-a-lady,,Italian,500.0,607.0,0.07433723629755613,0.6782759555573676,0.3000332202732822
69,portrait-of-a-lady,,Italian,670.0,800.0,0.11674730157840775,0.4581399494449467,0.4605486976880304
70,portrait-of-a-lady,,Italian,556.0,685.0,0.12613586804482257,0.26406775123878756,0.5506961232216461
71,portrait-of-a-lady,,Italian,853.0,1024.0,0.11718474208461889,0.3854663021752014,0.34348026285543526
72,portrait-of-a-lady,,British,450.0,722.0,0.11751810110149054,0.466419460689349,0.4477659128902408
73,portrait-of-a-lady,,British,621.0,1200.0,0.16578440287131269,0.26901178016059785,0.412174612947702
74,portrait-of-a-lady,,British,656.0,830.0,0.15030497550850092,0.22891561050373307,0.29581557939073366
75,portrait-of-a-lady,,British,500.0,607.0,0.07433723629755613,0.6782759555573676,0.3000332202732822
76,portrait-of-a-lady,,British,670.0,800.0,0.11674730157840775,0.4581399494449467,0.4605486976880304
77,portrait-of-a-lady,,British,556.0,685.0,0.12613586804482257,0.26406775123878756,0.5506961232216461
78,portrait-of-a-lady,,British,853.0,1024.0,0.11718474208461889,0.3854663021752014,0.34348026285543526
79,portrait-of-a-lady,,British,450.0,722.0,0.11751810110149054,0.466419460689349,0.4477659128902408
80,portrait-of-a-lady,,British,621.0,1200.0,0.16578440287131269,0.26901178016059785,0.412174612947702
81,portrait-of-a-lady,,British,656.0,830.0,0.15030497550850092,0.22891561050373307,0.29581557939073366
82,portrait-of-a-lady,,British,500.0,607.0,0.07433723629755613,0.6782759555573676,0.3000332202732822
83,portrait-of-a-lady,,British,670.0,800.0,0.11674730157840775,0.4581399494449467,0.4605486976880304
84,portrait-of-a-lady,,British,556.0,685.0,0.12613586804482257,0.26406775123878756,0.5506961232216461
85,portrait-of-a-lady,,British,853.0,1024.0,0.11718474208461889,0.3854663021752014,0.34348026285543526
86,portrait-of-a-lady,1768,British,450.0,722.0,0.11751810110149054,0.466419460689349,0.4477659128902408
87,portrait-of-a-lady,1768,British,621.0,1200.0,0.16578440287131269,0.26901178016059785,0.412174612947702
88,portrait-of-a-lady,1768,British,656.0,830.0,0.15030497550850092,0.22891561050373307,0.29581557939073366
89,portrait-of-a-lady,1768,British,500.0,607.0,0.07433723629755613,0.6782759555573676,0.3000332202732822
90,portrait-of-a-lady,1768,British,670.0,800.0,0.11674730157840775,0.4581399494449467,0.4605486976880304
91,portrait-of-a-lady,1768,British,556.0,685.0,0.12613586804482257,0.26406775123878756,0.5506961232216461
92,portrait-of-a-lady,1768,British,853.0,1024.0,0.11718474208461889,0.3854663021752014,0.34348026285543526
93,portrait-of-a-lady,1790,British,450.0,722.0,0.11751810110149054,0.466419460689349,0.4477659128902408
94,portrait-of-a-lady,1790,British,621.0,1200.0,0.16578440287131269,0.26901178016059785,0.412174612947702
95,portrait-of-a-lady,1790,British,656.0,830.0,0.15030497550850092,0.22891561050373307,0.29581557939073366
96,portrait-of-a-lady,1790,British,500.0,607.0,0.07433723629755613,0.6782759555573676,0.3000332202732822
97,portrait-of-a-lady,1790,British,670.0,800.0,0.11674730157840775,0.4581399494449467,0.4605486976880304
98,portrait-of-a-lady,1790,British,556.0,685.0,0.12613586804482257,0.26406775123878756,0.5506961232216461
