name,year,nationality,width,height,mean_hue,mean_saturation,mean_brightness
tzarina-natalia-alekseevna-1,,Russian,550,689,0.21304990405945784,0.433988004732469,0.23777591849511942
portrait-of-elizaveta-petrovna-as-a-child,1713,Russian,550,698,0.10972214950485472,0.4331421129266816,0.2326786591687991
tzarina-praskovia-ioanovna,1714,Russian,1400,1817,0.2505787288065059,0.29672187453971943,0.24034613647330125
peter-i,,Russian,590,800,0.461971964510551,0.3683544113711689,0.3856367896311067
peter-i,,Russian,640,783,0.5564758892380048,0.4447898185837962,0.1350881867753487
peter-i,1717,Russian,590,800,0.461971964510551,0.3683544113711689,0.3856367896311067
peter-i,1717,Russian,640,783,0.5564758892380048,0.4447898185837962,0.1350881867753487
catherine-i-of-russia,1717,Russian,546,757,0.48997040322864616,0.36130827791480263,0.3595573825506222
a-malorossian-hetman-probably-pavlo-polubotok,1720,Russian,1400,1803,0.2970964550667355,0.3591800631544282,0.22619002254257217
chancelor-g-i-golovkin,,Russian,1400,1717,0.10004108273784425,0.2906559784681579,0.177885072491431
peter-i-on-his-deathbed,1725,Russian,1200,1679,0.19410207598275675,0.27533804157861264,0.3043794839754446
peter-i-on-his-deathbed-1725-1,,Russian,550,662,0.07815136478865689,0.4964081184277049,0.16092365273491982
portrait-of-baron-s-g-stroganoff,1726,Russian,497,696,0.08592405052036634,0.7381640225420605,0.3678866527993745
boris-sheremetev,,Russian,691,927,0.256075097530583,0.3686210586765615,0.38954869149267046
portrait-of-young-man-in-a-green-coat,,Russian,1559,1848,0.2922350679731758,0.5660985591652105,0.40655669055189864
crown-princess-elizabeth-the-future-empress,1741,Russian,1635,1961,0.1823174273016615,0.43946390383539835,0.6429307063684766
anna-petrovna,,Russian,1300,1589,0.14999524798502586,0.36530051437796596,0.4800200112576375
tzarina-natalia-alekseevna,,Russian,549,800,0.5344088678529186,0.3335047298611175,0.23561202185792346
portrait-of-andrei-nartov,,Russian,314,388,0.28850792244741014,0.23514374034560442,0.28126732536865295
tsarina-praskovia-fedorovna-saltikova-widow-of-ivan-v,,Russian,406,496,0.22030542029708292,0.3032438636854735,0.1438654994812163
portrait-of-peter-the-great,,Russian,350,355,0.41355734555260304,0.16398748416624037,0.38259628358385606
portrait-of-grand-duke-peter-fedotovich-later-peter-iii,,Russian,469,590,0.6395256472558764,0.2813246839694463,0.16704758503451975
an-icon-from-the-iconostasis-of-the-st-andrew-s-church-in-kiev,1754,Russian,528,726,0.1064038189698422,0.06963616880390754,0.38005298078827493
lord-god-safaof,,Russian,548,882,0.27562371825113385,0.05546874734599197,0.41733272384379544
apostol-st-peter,,Russian,546,762,0.13118721549118903,0.0628399350147324,0.4189830343605237
the-last-supper,,Russian,528,699,0.31250477117417624,0.04985088540602735,0.4382322658547098
portrait-of-the-lady-in-waiting-a-m-izmaylova,,Russian,1200,1520,0.40477376109780755,0.24919309345113674,0.2605733466632267
portrait-of-an-unknown-lady,,Russian,506,590,0.36831836617753727,0.1463446554027094,0.5011791634319703
portrait-of-empress-elizaveta-petrovna,,Russian,680,857,0.38245829046309276,0.13401122451935532,0.516018742454769
portrait-of-catherine-ii,,Russian,1400,1920,0.49847486620087933,0.3344961515912938,0.3092669015522876
portrait-of-catherine-ii,,Russian,1400,1920,0.49847486620087933,0.3344961515912938,0.3092669015522876
portrait-of-f-krasnoschiokov,,Russian,614,806,0.4224549391815628,0.46864688854587033,0.6491903271925401
portrait-of-fyodor-dubyansky,1761,Russian,530,700,0.14448768741241017,0.36515712770972575,0.256617282384652
portrait-of-princess-t-a-trubetzkaya,,Russian,623,823,0.563495351004059,0.1936915952328281,0.45922832988370327
portrait-of-tsar-peter-iii-1728-62,1762,Russian,1400,1969,0.5000227713616263,0.3148936730511261,0.33471702139464227
portrait-of-anna-vasiliyevna-buturlina,,Russian,590,760,0.5355772604210964,0.487606243253994,0.18627324167847326
portrait-of-countess-m-a-rumyantzeva,,Russian,1400,1816,0.4505783892827651,0.2717497851174502,0.32827732634904183
portrait-of-general-in-chief-count-william-w-fermor,,Russian,662,881,0.17950826194962166,0.20661329099183526,0.5031425022900169
portrait-of-catherine-ii-1,,Russian,936,1253,0.2365228694184935,0.47145012069468156,0.3328542351381654
portrait-of-catherine-ii-the-great,,Russian,620,784,0.4109192794033495,0.13766601595270703,0.5393452461629815
portrait-of-grand-duchess-catherine-alekseevna-future-empress-catherine-ii-the-great,1770,Russian,662,840,0.5952459425154815,0.15725938856856,0.4651114171751277
portrait-of-tsar-peter-i,,Russian,1300,2212,0.3128855201948746,0.37946867156702246,0.37970819525473276
portrait-of-tsar-peter-i-the-great-1672-1725,1772,Russian,717,886,0.14901575084553526,0.3653003516339002,0.5051050605583085
portrait-of-archbishop-gavriil-petrov,,Russian,446,588,0.5700764582116529,0.2027425531909509,0.2340047379190839
self-portrait,,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,1783,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,1783,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,1783,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,1783,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,1783,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,1783,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,1783,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,1783,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,1783,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,1783,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,1809,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,1809,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,1809,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,1809,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,1809,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,1809,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,1809,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,1809,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,1809,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,1809,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,1820,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,1820,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,1820,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,1820,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,1820,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,1820,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,1820,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,1820,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,1820,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,1820,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,1828,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,1828,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,1828,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,1828,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,1828,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,1828,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,1828,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,1828,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,1828,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,1828,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,1881,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,1881,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,1881,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,1881,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,1881,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,1881,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,1881,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,1881,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,1881,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,1881,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,1885,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,1885,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,1885,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,1885,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,1885,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
